Date,Estimated revenue (USD)
2026-01-09,0.327
2026-01-10,0.354
2026-01-11,0.574
2026-01-12,0.192
2026-01-13,0.341
2026-01-14,0.41
2026-01-15,0.88
2026-01-16,1.406
2026-01-17,1.176
2026-01-18,0.412
2026-01-19,0.445
2026-01-20,0.712
2026-01-21,0.411
2026-01-22,0.309
2026-01-23,0.472
2026-01-24,0.653
2026-01-25,0.899
2026-01-26,1.065
2026-01-27,0.947
2026-01-28,0.818
2026-01-29,0.726
2026-01-30,1.243
2026-01-31,0.605
2026-02-01,0.69
2026-02-02,0.36
2026-02-03,0.599
2026-02-04,3.79
2026-02-05,0.896
2026-02-06,0.744
2026-02-07,0.571
2026-02-08,1.093
2026-02-09,1.125
2026-02-10,0.961
2026-02-11,1.111
2026-02-12,1.436
2026-02-13,1.246
2026-02-14,1.563
2026-02-15,1.294
2026-02-16,1.995
2026-02-17,1.523
2026-02-18,0.549
2026-02-19,0.532
2026-02-20,0.496
2026-02-21,0.438
2026-02-22,0.441
2026-02-23,0.335
2026-02-24,0.525
2026-02-25,0.714
2026-02-26,1.178
2026-02-27,0.758
2026-02-28,0.631
2026-03-01,0.486
2026-03-02,0.413
2026-03-03,0.627
2026-03-04,0.465
2026-03-05,0.439
2026-03-06,0.929
2026-03-07,0.482
2026-03-08,0.694
2026-03-09,0.718
2026-03-10,0.9
2026-03-11,0.564
2026-03-12,0.44
2026-03-13,0.216
2026-03-14,0.607
2026-03-15,0.337
2026-03-16,1.055
2026-03-17,0.312
2026-03-18,0.984
2026-03-19,0.232
2026-03-20,0.277
2026-03-21,0.248
2026-03-22,0.272
2026-03-23,0.213
2026-03-24,0.285
2026-03-25,0.231
2026-03-26,0.268
2026-03-27,0.8
2026-03-28,0.223
2026-03-29,0.357
2026-03-30,0.332
2026-03-31,0.25
2026-04-01,0.136
2026-04-02,0.271
2026-04-03,0.181
2026-04-04,0.202
2026-04-05,0.389
2026-04-06,0.136
2026-04-07,0.255
2026-04-08,0
