Date,Engaged views
2026-01-09,96
2026-01-10,129
2026-01-11,96
2026-01-12,98
2026-01-13,118
2026-01-14,95
2026-01-15,160
2026-01-16,145
2026-01-17,153
2026-01-18,112
2026-01-19,90
2026-01-20,116
2026-01-21,113
2026-01-22,90
2026-01-23,112
2026-01-24,129
2026-01-25,132
2026-01-26,124
2026-01-27,90
2026-01-28,85
2026-01-29,87
2026-01-30,103
2026-01-31,116
2026-02-01,116
2026-02-02,113
2026-02-03,107
2026-02-04,123
2026-02-05,123
2026-02-06,95
2026-02-07,106
2026-02-08,126
2026-02-09,115
2026-02-10,215
2026-02-11,399
2026-02-12,280
2026-02-13,185
2026-02-14,151
2026-02-15,126
2026-02-16,137
2026-02-17,120
2026-02-18,123
2026-02-19,93
2026-02-20,105
2026-02-21,111
2026-02-22,112
2026-02-23,87
2026-02-24,94
2026-02-25,121
2026-02-26,108
2026-02-27,86
2026-02-28,93
2026-03-01,89
2026-03-02,96
2026-03-03,78
2026-03-04,103
2026-03-05,66
2026-03-06,89
2026-03-07,91
2026-03-08,147
2026-03-09,228
2026-03-10,301
2026-03-11,192
2026-03-12,133
2026-03-13,75
2026-03-14,122
2026-03-15,63
2026-03-16,75
2026-03-17,65
2026-03-18,83
2026-03-19,70
2026-03-20,92
2026-03-21,70
2026-03-22,71
2026-03-23,70
2026-03-24,74
2026-03-25,74
2026-03-26,70
2026-03-27,83
2026-03-28,87
2026-03-29,103
2026-03-30,57
2026-03-31,67
2026-04-01,54
2026-04-02,72
2026-04-03,57
2026-04-04,69
2026-04-05,76
2026-04-06,71
2026-04-07,59
2026-04-08,45
